id,neighbourhood,room_type,price,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,row_number
22918,Harlem,Private room,60,11,0.87,3,219,905
319724,Williamsburg,Private room,59,207,2.29,2,284,920
310272,Clifton,Private room,59,50,0.56,1,352,919
26362,Hell's Kitchen,Private room,59,334,3,2,279,916
63299,Williamsburg,Private room,59,181,1.77,2,15,917
436824,Harlem,Private room,58,17,0.31,2,289,921
113265,Crown Heights,Private room,55,247,2.51,2,275,926
152259,Harlem,Private room,55,119,1.22,5,333,927
233638,Ridgewood,Private room,55,19,0.25,1,311,929
9782,Greenpoint,Private room,55,197,1.65,3,284,923
439750,Williamsburg,Private room,55,10,0.14,1,97,933
483414,Bedford-Stuyvesant,Private room,55,22,0.26,4,297,937
470370,Crown Heights,Private room,55,101,1.19,4,170,936
577324,Ditmars Steinway,Entire home/apt,54,198,2.33,1,80,940
254131,Jackson Heights,Private room,54,56,0.66,3,365,939
9704,Harlem,Private room,52,88,1.42,1,255,941
311356,Ridgewood,Private room,52,98,1.09,1,326,943
100184,Queens Village,Private room,50,43,0.45,1,88,948
292266,Bushwick,Private room,50,17,0.19,2,74,957
455734,Inwood,Entire home/apt,50,123,1.47,1,21,958
135393,East Flatbush,Private room,50,263,2.69,2,136,949
206071,Concourse Village,Private room,50,258,2.7,2,276,951
230854,Concourse,Private room,50,235,2.49,2,271,953
9783,Harlem,Private room,50,273,2.37,3,359,946
195123,Washington Heights,Private room,50,225,2.35,1,343,950
319798,Bay Ridge,Private room,49,72,0.81,2,343,964
257568,Cypress Hills,Private room,48,53,0.57,2,1,967
163836,Greenpoint,Private room,46,86,0.89,3,350,968
270139,Bushwick,Private room,45,21,0.29,3,88,971
506575,Morris Heights,Private room,45,190,2.21,2,329,974
391948,Ozone Park,Shared room,45,8,0.11,2,364,972
34760,Fort Greene,Private room,44,27,1.05,5,280,976
195233,Prospect-Lefferts Gardens,Private room,43,401,6.62,2,43,977
245544,Kingsbridge,Private room,42,108,1.36,2,302,981
213272,Bushwick,Private room,40,1,0.37,1,5,985
498120,Allerton,Private room,35,2,0.17,1,90,995
165824,Sunnyside,Private room,33,31,0.32,3,161,997
375249,Graniteville,Private room,20,80,0.92,1,226,998
